"URL","Old title","Score old title","New title","Score new title","Dynamics of change of title score","Old descriptive","Score of old descriptive","New description","Score new description","Dynamics of change of title score","Text rating","Title length","Title recommendation","Description length","Description recommendation","Text length(words)","Text length(symbols)","Text recommendation","PageSpeed Mobile(Performance)","PageSpeed Mobile(Accessibility)","PageSpeed Mobile(Best Practices)","PageSpeed Mobile(SEO)","PageSpeed Mobile","PageSpeed Mobile report","PageSpeed Desktop(Performance)","PageSpeed Desktop(Accessibility)","PageSpeed Desktop(Best Practices)","PageSpeed Desktop(SEO)","PageSpeed Desktop","PageSpeed Desktop report"
"https://trademarkfactory.com/cartoon/how-are-trademarks-different-from-industrial-designs","How Are Trademarks Different from Industrial Designs (a.k.a. Design Patents)? | Trademark Factory®","32","How Are Trademarks Different from Industrial Designs (a.k.a. Design Patents)? | Trademarking 101","50","18","Is there a difference between trademarks & design patents? learn about the 2 areas of intellectual property in this article.","0","Is there a difference between trademarks & design patents? learn about the 2 areas of intellectual property in this article.","40","40","100","96","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.
Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","124","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","2582","16895","Words from title: trademark (87  or 3%), trademarks (37  or 1%), factory (35  or 1%), industrial (22  or 1%), are (21  or 1%), design (15  or 1%), designs (13  or 1%), different (8  or 0%), patents (7  or 0%), aka (3  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/cartoon/how-are-trademarks-different-from-industrial-designs&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/cartoon/how-are-trademarks-different-from-industrial-designs&strategy=DESKTOP"
"https://trademarkfactory.com/faq/adding-elements-to-my-trademark-to-overcome-confusion-or-descriptiveness","Adding Elements to My Trademark to Overcome Confusion or Descriptiveness | Trademark Factory®","37","Adding Elements to My Trademark to Overcome Confusion or Descriptiveness (Trademarking 101)","60","23","Did you know that by adding 1 or 2 elements to your trademark can help you overcome descriptiveness or confusion? Learn all about it today.","0","Did you know that by adding 1 or 2 elements to your trademark can help you overcome descriptiveness or confusion? Learn all about it today.","39","39","100","91","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.","139","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3167","20458","Words from title: trademark (132  or 4%), my (35  or 1%), or (16  or 1%), factory (16  or 1%), adding (5  or 0%), elements (5  or 0%), confusion (4  or 0%), overcome (3  or 0%), descriptiveness (3  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/adding-elements-to-my-trademark-to-overcome-confusion-or-descriptiveness&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/adding-elements-to-my-trademark-to-overcome-confusion-or-descriptiveness&strategy=DESKTOP"
"https://trademarkfactory.com/faq/what-is-the-difference-between-a-tm-and-an-r-in-a-circle-symbols","What Is The Difference Between a TM and an R in a Circle Symbols | Trademark Factory®","22","What Is The Difference Between the ™ and ® Symbols (Trademarking 101)","63","41","We usually see ® and ™ after a brand or a logo. But what is the difference between these 2 symbols? Learn all about it here!","0","We usually see ® and ™ after a brand or a logo. But what is the difference between these 2 symbols? Learn all about it here!","36","36","100","69","Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","124","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","2996","19543","Words from title: trademark (133  or 4%), and (85  or 3%), tm (20  or 1%), factory (17  or 1%), an (15  or 1%), r (14  or 0%), symbols (13  or 0%), difference (8  or 0%), circle (7  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/what-is-the-difference-between-a-tm-and-an-r-in-a-circle-symbols&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/what-is-the-difference-between-a-tm-and-an-r-in-a-circle-symbols&strategy=DESKTOP"
"https://trademarkfactory.com/faq/look-alike-and-sound-alike-trademarks","Look-Alike and Sound-Alike Trademarks | Trademark Factory®","46","Look-Alike and Sound-Alike Trademarks (Trademarking 101)","74","28","What are look-alike and sound-alike trademarks? Would these 2 types of trademarks get you into trouble? Learn all about it here!","0","What are look-alike and sound-alike trademarks? Would these 2 types of trademarks get you into trouble? Learn all about it here!","45","45","100","56","Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","128","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3089","20084","Words from title: trademark (129  or 4%), and (85  or 3%), trademarks (55  or 2%), factory (16  or 1%), look-alike (5  or 0%), sound-alike (5  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/look-alike-and-sound-alike-trademarks&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/look-alike-and-sound-alike-trademarks&strategy=DESKTOP"
"https://trademarkfactory.com/faq/does-my-trademark-need-to-match-my-company-name","Does My Trademark Need to Match My Company Name? | Trademark Factory®","32","Does My Trademark Need to Match My Company Name? (Trademarking 101)","50","18","Does your trademark & company name have to match? Should these 2 be one and the same or can they be different? Learn all about it here!","0","Does your trademark & company name have to match? Should these 2 be one and the same or can they be different? Learn all about it here!","37","37","90","67","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.
Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","135","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","2933","19187","Words from title: trademark (135  or 5%), my (38  or 1%), name (21  or 1%), factory (20  or 1%), does (12  or 0%), need (12  or 0%), company (10  or 0%), match (5  or 0%)
Text spam: trademark
Replace some word with synonym in your text with more than 5% of density: trademark","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/does-my-trademark-need-to-match-my-company-name&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/does-my-trademark-need-to-match-my-company-name&strategy=DESKTOP"
"https://trademarkfactory.com/faq/incorporation-vs-trademarking","Incorporation vs Trademarking | Trademark Factory®","48","Incorporation vs Trademarking (Trademarking 101)","72","24","Is it necessary for you to incorporate when filing for a trademark registration? Learn 1 or 2 tips about this from the best trademarking company.","0","Is it necessary for you to incorporate when filing for a trademark registration? Learn 1 or 2 tips about this from the best trademarking company.","38","38","100","48","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.
Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","145","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3616","23020","Words from title: trademark (140  or 4%), trademarking (20  or 1%), factory (18  or 0%), vs (7  or 0%), incorporation (5  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/incorporation-vs-trademarking&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/incorporation-vs-trademarking&strategy=DESKTOP"
"https://trademarkfactory.com/faq/can-i-trademark-dictionary-words","Can I Trademark Dictionary Words? | Trademark Factory®","57","Can I Trademark Dictionary Words? (Trademarking 101)","77","20","Trademarking 101 question: Can one trademark simple dictionary words? Will they get approved? learn all about it here!","0","Trademarking 101 question: Can one trademark simple dictionary words? Will they get approved? learn all about it here!","41","41","90","52","Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","118","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","2956","19304","Words from title: trademark (134  or 5%), i (42  or 1%), factory (18  or 1%), dictionary (7  or 0%), words (6  or 0%)
Text spam: trademark
Replace some word with synonym in your text with more than 5% of density: trademark","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/can-i-trademark-dictionary-words&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/can-i-trademark-dictionary-words&strategy=DESKTOP"
"https://trademarkfactory.com/faq/do-i-need-an-agreement-with-my-logo-designer","Do I Need an Agreement with My Logo Designer? | Trademark Factory®","22","Do I Need an Agreement with My Logo Designer? (Trademarking 101)","40","18","After you paid some $$$ to your designer, does it mean that you own the brand? Learn 1 or 2 tips from the best trademarking company.","0","After you paid some $$$ to your designer, does it mean that you own the brand? Learn 1 or 2 tips from the best trademarking company.","36","36","100","64","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.
Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.
Capitalize the First Letter in Each Word on Your Title, Except articles & propositions","132","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3304","21173","Words from title: trademark (128  or 4%), i (45  or 1%), my (35  or 1%), logo (18  or 1%), factory (18  or 1%), an (17  or 1%), agreement (16  or 0%), need (11  or 0%), designer (5  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/do-i-need-an-agreement-with-my-logo-designer&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/do-i-need-an-agreement-with-my-logo-designer&strategy=DESKTOP"
"https://trademarkfactory.com/faq/trademarking-words-in-a-fancy-font","Trademarking Words in a Fancy Font? | Trademark Factory®","55","Trademarking Words in a Fancy Font? (Trademarking 101)","79","24","Does your brand come in a cool font? Should you file it as a design mark or as a word mark? Or both? Learn all about it here!","0","Does your brand come in a cool font? Should you file it as a design mark or as a word mark? Or both? Learn all about it here!","22","22","100","54","Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","125","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3087","19944","Words from title: trademark (123  or 4%), trademarking (18  or 1%), factory (17  or 1%), words (11  or 0%), font (9  or 0%), fancy (4  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/trademarking-words-in-a-fancy-font&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/trademarking-words-in-a-fancy-font&strategy=DESKTOP"
"https://trademarkfactory.com/faq/in-whose-name-should-i-apply-for-my-trademark","In Whose Name Should I Apply For My Trademark? | Trademark Factory®","38","In Whose Name Should I Apply For My Trademark? (Trademarking 101)","56","18","Under which name should you register your trademark under? Learn all about here!","0","Under which name should you register your trademark under? Learn all about here!","26","26","100","65","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.
Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","80","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3233","20740","Words from title: trademark (135  or 4%), i (39  or 1%), my (33  or 1%), name (21  or 1%), should (20  or 1%), factory (17  or 1%), apply (6  or 0%), whose (3  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/in-whose-name-should-i-apply-for-my-trademark&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/in-whose-name-should-i-apply-for-my-trademark&strategy=DESKTOP"
"https://trademarkfactory.com/faq/trademark-classes-for-clothing-everything-you-need-to-know","Trademark Classes For Clothing Everything You Need To Know | Trademark Factory®","38","Trademark Classes For Clothing Everything You Need To Know (Trademarking 101)","56","18","In which class do you trademark your clothing brand? Is it just limited to class 25? learn 4 other classes in which you can file your brand under.","0","In which class do you trademark your clothing brand? Is it just limited to class 25? learn 4 other classes in which you can file your brand under.","43","43","100","77","On average, the length of the meta tag title is less than 600 pixels that are equal to 50-60 characters or 7 words.","146","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3496","22105","Words from title: trademark (129  or 4%), factory (16  or 0%), classes (14  or 0%), clothing (13  or 0%), need (11  or 0%), know (7  or 0%), everything (5  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/trademark-classes-for-clothing-everything-you-need-to-know&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/trademark-classes-for-clothing-everything-you-need-to-know&strategy=DESKTOP"
"https://trademarkfactory.com/faq/do-trademarks-protect-their-foreign-equivalents","Do Trademarks Protect Their Foreign Equivalents | Trademark Factory®","51","Do Trademarks Protect Their Foreign Equivalents (Trademarking 101)","69","18","If you trademarked your brand does it mean it\'s protected in its equivalent in another language? Learn all about it here!","0","If you trademarked your brand does it mean it\'s protected in its equivalent in another language? Learn all about it here!","19","19","100","66","","122","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3047","19919","Words from title: trademark (128  or 4%), trademarks (52  or 2%), factory (16  or 1%), protect (7  or 0%), their (6  or 0%), foreign (3  or 0%), equivalents (3  or 0%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/do-trademarks-protect-their-foreign-equivalents&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/do-trademarks-protect-their-foreign-equivalents&strategy=DESKTOP"
"https://trademarkfactory.com/faq/should-i-trademark-my-name-or-my-logo","Should I Trademark My Name Or My Logo | Trademark Factory®","56","Should I Trademark My Name Or My Logo (Trademarking 101)","79","23","Which should you trademark first? Your name, or your logo? Learn the best trademark 101 tips right here.","0","Which should you trademark first? Your name, or your logo? Learn the best trademark 101 tips right here.","42","42","100","56","Use provoking words from paid Google ads, e.g., free shipping, discounts, etc.","104","There is no meta tag description. It might decrease your CTR. It’s indirect factor but important.","3200","20530","Words from title: trademark (126  or 4%), i (38  or 1%), name (36  or 1%), my (34  or 1%), logo (22  or 1%), or (20  or 1%), should (19  or 1%), factory (17  or 1%)","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/should-i-trademark-my-name-or-my-logo&strategy=MOBILE","","","","","","https://seotools.tv/website-audit-report?pid=4309&url=https://trademarkfactory.com/faq/should-i-trademark-my-name-or-my-logo&strategy=DESKTOP"
